File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF673VLP	fastq	fastq		reads		ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1	50		paired-ended	1	/files/ENCFF548GPO/			332935146	Gene Yeo, UCSD	876f260f9fd6004224816d5ed6cc4002		https://www.encodeproject.org/files/ENCFF673VLP/@@download/ENCFF673VLP.fastq.gz		Illumina HiSeq 4000	/files/ENCFF467KQF/	released	s3://encode-public/2018/04/29/e9c6586c-a07c-4907-abb6-13ce9379a76e/ENCFF673VLP.fastq.gz			mixed read lengths		
ENCFF548GPO	fastq	fastq		reads		ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1	45		paired-ended	2	/files/ENCFF673VLP/			315995828	Gene Yeo, UCSD	255ecb3fc4dbd6ab6d2a00b11a3be63d		https://www.encodeproject.org/files/ENCFF548GPO/@@download/ENCFF548GPO.fastq.gz		Illumina HiSeq 4000	/files/ENCFF137BBS/	released	s3://encode-public/2018/04/29/1ba5f09f-2fe0-4fda-8355-6b87e5c39e49/ENCFF548GPO.fastq.gz			mixed read lengths		
ENCFF137XEJ	fastq	fastq		reads		ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1	45		paired-ended	2	/files/ENCFF553UKA/			380488715	Gene Yeo, UCSD	a9b5f11b4256d36387e159601810e9d8		https://www.encodeproject.org/files/ENCFF137XEJ/@@download/ENCFF137XEJ.fastq.gz		Illumina HiSeq 4000	/files/ENCFF137BBS/	released	s3://encode-public/2018/04/29/88adcf13-14f7-4988-8b2a-585e132dac7c/ENCFF137XEJ.fastq.gz			mixed read lengths		
ENCFF480XQJ	bam	bam		alignments	hg19	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF673VLP/, /files/ENCFF548GPO/	84083070	Gene Yeo, UCSD	6b94e99e54106111c9f1424e6f6f1292		https://www.encodeproject.org/files/ENCFF480XQJ/@@download/ENCFF480XQJ.bam				released	s3://encode-public/2018/04/29/bd6a6209-800b-4561-8148-da9178eef213/ENCFF480XQJ.bam	Lab custom hg19	archived	mixed read lengths		
ENCFF264AQP	bam	bam		alignments	hg19	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF553UKA/, /files/ENCFF137XEJ/	113520937	Gene Yeo, UCSD	42435255f7d64f55f3a48f71580781fa		https://www.encodeproject.org/files/ENCFF264AQP/@@download/ENCFF264AQP.bam				released	s3://encode-public/2018/04/29/82b8ffe1-5071-4293-9414-40d59230335d/ENCFF264AQP.bam	Lab custom hg19	archived	mixed read lengths		
ENCFF901PRL	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF264AQP/	5896089	Gene Yeo, UCSD	8b5ff054c6a376921e321741f41bec0c		https://www.encodeproject.org/files/ENCFF901PRL/@@download/ENCFF901PRL.bigWig				released	s3://encode-public/2018/04/29/46168348-8ff3-425d-8b0e-8249a06505e8/ENCFF901PRL.bigWig	Lab custom hg19	archived	mixed read lengths		
ENCFF208NTO	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF480XQJ/	5003950	Gene Yeo, UCSD	024442f03da9a31b57c01758d6d25ec4		https://www.encodeproject.org/files/ENCFF208NTO/@@download/ENCFF208NTO.bigWig				released	s3://encode-public/2018/04/29/a4434560-9246-4550-93f0-e0c2d1162d41/ENCFF208NTO.bigWig	Lab custom hg19	archived	mixed read lengths		
ENCFF773BDV	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF264AQP/	6188773	Gene Yeo, UCSD	53f34b20abaac390d5c869e8cc48f5f2		https://www.encodeproject.org/files/ENCFF773BDV/@@download/ENCFF773BDV.bigWig				released	s3://encode-public/2018/04/29/05788a6f-a645-4fab-8ab7-0b1aeb50bb15/ENCFF773BDV.bigWig	Lab custom hg19	archived	mixed read lengths		
ENCFF838CRT	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF480XQJ/	5258856	Gene Yeo, UCSD	ad8b45736307bf542fb27262d2b57e51		https://www.encodeproject.org/files/ENCFF838CRT/@@download/ENCFF838CRT.bigWig				released	s3://encode-public/2018/04/29/63ee2499-2083-4505-8bac-0aeb74361b44/ENCFF838CRT.bigWig	Lab custom hg19	archived	mixed read lengths		
ENCFF109LYL	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF480XQJ/, /files/ENCFF922LFX/	619918	Gene Yeo, UCSD	c8a046e05bc077f84f0d8bde17d64ea4		https://www.encodeproject.org/files/ENCFF109LYL/@@download/ENCFF109LYL.bed.gz				released	s3://encode-public/2018/04/29/5ebbd453-c78f-48e9-89b6-61e5a39426ff/ENCFF109LYL.bed.gz	Lab custom hg19	archived	mixed read lengths		
ENCFF138IUK	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF264AQP/, /files/ENCFF922LFX/	582773	Gene Yeo, UCSD	d016f2b0df1cb8191bbfb8a6757bff58		https://www.encodeproject.org/files/ENCFF138IUK/@@download/ENCFF138IUK.bed.gz				released	s3://encode-public/2018/04/29/81628ea8-1960-4b91-803a-6014fd5cae56/ENCFF138IUK.bed.gz	Lab custom hg19	archived	mixed read lengths		
ENCFF254ATY	bigBed narrowPeak	bigBed	narrowPeak	peaks	hg19	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF138IUK/	1147805	Gene Yeo, UCSD	7229834d7d985c3d92f0fe05e429fc62		https://www.encodeproject.org/files/ENCFF254ATY/@@download/ENCFF254ATY.bigBed				released	s3://encode-public/2018/04/29/5af76ade-1d2b-4ded-8a16-9703c89da704/ENCFF254ATY.bigBed	Lab custom hg19	archived	mixed read lengths		
ENCFF351RZD	bigBed narrowPeak	bigBed	narrowPeak	peaks	hg19	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF109LYL/	1243130	Gene Yeo, UCSD	2fa7aadc35b3f372051d22fcd70f0c23		https://www.encodeproject.org/files/ENCFF351RZD/@@download/ENCFF351RZD.bigBed				released	s3://encode-public/2018/04/29/f3a995c6-5286-4e48-bcc3-ff4a386ac12b/ENCFF351RZD.bigBed	Lab custom hg19	archived	mixed read lengths		
ENCFF945HNC	bam	bam		alignments	GRCh38	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF673VLP/, /files/ENCFF548GPO/	82787279	Gene Yeo, UCSD	477b00c99a093bbfca95cb1da1398b25		https://www.encodeproject.org/files/ENCFF945HNC/@@download/ENCFF945HNC.bam				released	s3://encode-public/2018/04/29/36b6c7f8-b62e-4098-baa6-a3b8c649cce2/ENCFF945HNC.bam	Lab custom GRCh38	released	mixed read lengths		
ENCFF526BOW	bam	bam		alignments	GRCh38	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF553UKA/, /files/ENCFF137XEJ/	111487525	Gene Yeo, UCSD	836643f2e60b5440a0e46cb74f3ba408		https://www.encodeproject.org/files/ENCFF526BOW/@@download/ENCFF526BOW.bam				released	s3://encode-public/2018/04/29/0bd0b59d-f5bc-47ab-a763-a5f9b29fb875/ENCFF526BOW.bam	Lab custom GRCh38	released	mixed read lengths		
ENCFF318MEI	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF526BOW/	5838490	Gene Yeo, UCSD	5b4621148708fc990dc16b9b224693c7		https://www.encodeproject.org/files/ENCFF318MEI/@@download/ENCFF318MEI.bigWig				released	s3://encode-public/2018/04/29/d292e336-4100-4d43-af8d-0c117cfca1c0/ENCFF318MEI.bigWig	Lab custom GRCh38	released	mixed read lengths		
ENCFF494TID	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF945HNC/	4973764	Gene Yeo, UCSD	c905aa2d864dbca534ae3b8ae1b30d17		https://www.encodeproject.org/files/ENCFF494TID/@@download/ENCFF494TID.bigWig				released	s3://encode-public/2018/04/29/ef1722ce-925c-4e8b-90a9-6e03ee025d4f/ENCFF494TID.bigWig	Lab custom GRCh38	released	mixed read lengths		
ENCFF632GZB	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF945HNC/	5223217	Gene Yeo, UCSD	d56bf00f82d55ca3e18965324501cd92		https://www.encodeproject.org/files/ENCFF632GZB/@@download/ENCFF632GZB.bigWig				released	s3://encode-public/2018/04/29/78bd34d3-8926-4172-a1d5-b8842bf6e391/ENCFF632GZB.bigWig	Lab custom GRCh38	released	mixed read lengths		
ENCFF379ORN	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF526BOW/	6139883	Gene Yeo, UCSD	297e7cb52148c799ad872f5a62e50a31		https://www.encodeproject.org/files/ENCFF379ORN/@@download/ENCFF379ORN.bigWig				released	s3://encode-public/2018/04/29/e0ed667a-084c-492c-a796-b0ccbb678eee/ENCFF379ORN.bigWig	Lab custom GRCh38	released	mixed read lengths		
ENCFF289NNH	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF945HNC/, /files/ENCFF068FML/	622209	Gene Yeo, UCSD	47a626cd4522c18c8f1989cd8ee0ad23		https://www.encodeproject.org/files/ENCFF289NNH/@@download/ENCFF289NNH.bed.gz				released	s3://encode-public/2018/04/29/6976dd6d-b3db-4461-8f76-cb53a4f0c9f3/ENCFF289NNH.bed.gz	Lab custom GRCh38	released	mixed read lengths		
ENCFF556SMF	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF526BOW/, /files/ENCFF068FML/	579693	Gene Yeo, UCSD	fd5887d686d940482e4378189aef6276		https://www.encodeproject.org/files/ENCFF556SMF/@@download/ENCFF556SMF.bed.gz				released	s3://encode-public/2018/04/29/4493d196-c7ca-4984-9c2f-e7f98af844d3/ENCFF556SMF.bed.gz	Lab custom GRCh38	released	mixed read lengths		
ENCFF938JQE	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF138IUK/, /files/ENCFF264AQP/, /files/ENCFF922LFX/, /files/ENCFF039QTN/, /files/ENCFF480XQJ/, /files/ENCFF109LYL/	3232	Gene Yeo, UCSD	db7a16f41dfccb47eca9c56f8db5aa4d		https://www.encodeproject.org/files/ENCFF938JQE/@@download/ENCFF938JQE.bed.gz				released	s3://encode-public/2018/06/08/80020f74-d080-42b6-a66d-154f6fc12b63/ENCFF938JQE.bed.gz	Lab custom hg19	archived	mixed read lengths		
ENCFF128BXK	bigBed narrowPeak	bigBed	narrowPeak	peaks	GRCh38	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF556SMF/	1144857	Gene Yeo, UCSD	c48145bf19c03e687547c7647320fdda		https://www.encodeproject.org/files/ENCFF128BXK/@@download/ENCFF128BXK.bigBed				released	s3://encode-public/2018/08/16/6824a534-13e4-423b-b10a-d6a9fd34c704/ENCFF128BXK.bigBed	Lab custom GRCh38	released	mixed read lengths		
ENCFF269MTH	bigBed narrowPeak	bigBed	narrowPeak	peaks	GRCh38	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF289NNH/	1248039	Gene Yeo, UCSD	6726af0379bd28afd6833ddf187ef05b		https://www.encodeproject.org/files/ENCFF269MTH/@@download/ENCFF269MTH.bigBed				released	s3://encode-public/2018/08/16/5c86e0dc-0afc-4745-9149-9390b64a91a0/ENCFF269MTH.bigBed	Lab custom GRCh38	released	mixed read lengths		
ENCFF404HHM	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR038JME	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										WRN-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1, 2	1_1, 2_1							/files/ENCFF289NNH/, /files/ENCFF526BOW/, /files/ENCFF945HNC/, /files/ENCFF269URO/, /files/ENCFF068FML/, /files/ENCFF556SMF/	3110	Gene Yeo, UCSD	432e82088ca2c3257f7a52fca511f9f7		https://www.encodeproject.org/files/ENCFF404HHM/@@download/ENCFF404HHM.bed.gz				released	s3://encode-public/2018/12/03/9c72c4dc-18a8-48d0-ade6-c26a29b902ac/ENCFF404HHM.bed.gz	Lab custom GRCh38	released	mixed read lengths		
ENCFF346VFW	bam	bam		alignments	hg19	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF260KKZ/, /files/ENCFF713YLQ/, /files/ENCFF655HJD/, /files/ENCFF774VNR/, /files/ENCFF023SPX/, /files/ENCFF285GQG/, /files/ENCFF082VYL/, /files/ENCFF392MTE/	110418980	Gene Yeo, UCSD	e48ecc6429d918f40c3764b1d2194427		https://www.encodeproject.org/files/ENCFF346VFW/@@download/ENCFF346VFW.bam				released	s3://encode-public/2018/04/29/6ed421a9-5138-4417-b6a8-4458313fdddb/ENCFF346VFW.bam	Lab custom hg19	archived	mixed read lengths		
ENCFF398XYR	bam	bam		alignments	hg19	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF315VJK/, /files/ENCFF315EQH/	209286768	Gene Yeo, UCSD	9c7c6b864e020311faf4a5ff685157ea		https://www.encodeproject.org/files/ENCFF398XYR/@@download/ENCFF398XYR.bam				released	s3://encode-public/2018/04/29/aceb503b-edae-4b60-8153-50b140bcd6c0/ENCFF398XYR.bam	Lab custom hg19	archived	mixed read lengths		
ENCFF668IXD	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF346VFW/	5843044	Gene Yeo, UCSD	5741cb262b8fbf9800fd217bafabb7a3		https://www.encodeproject.org/files/ENCFF668IXD/@@download/ENCFF668IXD.bigWig				released	s3://encode-public/2018/04/29/dc045a15-3a2b-4946-9015-72e074d79059/ENCFF668IXD.bigWig	Lab custom hg19	archived	mixed read lengths		
ENCFF379YZG	bigWig	bigWig		minus strand signal of unique reads	hg19	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF398XYR/	12243596	Gene Yeo, UCSD	a3f185b9980a85f824c35f485a3c25b8		https://www.encodeproject.org/files/ENCFF379YZG/@@download/ENCFF379YZG.bigWig				released	s3://encode-public/2018/04/29/395d5f1a-c65c-4cf6-995e-d367d7d40372/ENCFF379YZG.bigWig	Lab custom hg19	archived	mixed read lengths		
ENCFF499WCD	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF346VFW/	6091698	Gene Yeo, UCSD	cbaa5c7c80513ffaf9fa1f617cb051c1		https://www.encodeproject.org/files/ENCFF499WCD/@@download/ENCFF499WCD.bigWig				released	s3://encode-public/2018/04/29/4000e64f-0e5d-49f7-aa00-dba7d495571f/ENCFF499WCD.bigWig	Lab custom hg19	archived	mixed read lengths		
ENCFF039MJO	bigWig	bigWig		plus strand signal of unique reads	hg19	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF398XYR/	12684805	Gene Yeo, UCSD	47b4110688b860693eae1d3585a9aa12		https://www.encodeproject.org/files/ENCFF039MJO/@@download/ENCFF039MJO.bigWig				released	s3://encode-public/2018/04/29/b2f705d1-8114-418a-baf7-931ce0745a79/ENCFF039MJO.bigWig	Lab custom hg19	archived	mixed read lengths		
ENCFF519AJS	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF346VFW/, /files/ENCFF420VUM/	647439	Gene Yeo, UCSD	feb37e0fa2d81abec6317d2c1ce7404b		https://www.encodeproject.org/files/ENCFF519AJS/@@download/ENCFF519AJS.bed.gz				released	s3://encode-public/2018/04/29/43cef9c0-5557-4a64-89df-24fc1055626d/ENCFF519AJS.bed.gz	Lab custom hg19	archived	mixed read lengths		
ENCFF319VBB	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF398XYR/, /files/ENCFF420VUM/	789181	Gene Yeo, UCSD	ea208196d705e212c8b9eccd760e8312		https://www.encodeproject.org/files/ENCFF319VBB/@@download/ENCFF319VBB.bed.gz				released	s3://encode-public/2018/04/29/94d8b36c-2613-4cfe-bd33-df590d3fed3b/ENCFF319VBB.bed.gz	Lab custom hg19	archived	mixed read lengths		
ENCFF239THR	bigBed narrowPeak	bigBed	narrowPeak	peaks	hg19	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF319VBB/	1426680	Gene Yeo, UCSD	1d2154363420b4d7033710530d3ac033		https://www.encodeproject.org/files/ENCFF239THR/@@download/ENCFF239THR.bigBed				released	s3://encode-public/2018/04/29/77574ef5-449b-496f-9806-526aff9fae46/ENCFF239THR.bigBed	Lab custom hg19	archived	mixed read lengths		
ENCFF436DAF	bigBed narrowPeak	bigBed	narrowPeak	peaks	hg19	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF519AJS/	1226670	Gene Yeo, UCSD	5f4a3e33b6fd0e834b5ba0cc92ead186		https://www.encodeproject.org/files/ENCFF436DAF/@@download/ENCFF436DAF.bigBed				released	s3://encode-public/2018/04/29/f15ce5e2-b174-4a58-9330-e98028d9d9fb/ENCFF436DAF.bigBed	Lab custom hg19	archived	mixed read lengths		
ENCFF943EZJ	bam	bam		alignments	GRCh38	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF260KKZ/, /files/ENCFF713YLQ/, /files/ENCFF655HJD/, /files/ENCFF774VNR/, /files/ENCFF023SPX/, /files/ENCFF285GQG/, /files/ENCFF082VYL/, /files/ENCFF392MTE/	108174215	Gene Yeo, UCSD	e8f32bbb0edcae34f9fa439186018836		https://www.encodeproject.org/files/ENCFF943EZJ/@@download/ENCFF943EZJ.bam				released	s3://encode-public/2018/04/29/ee262d47-c748-430f-8aca-cb0bd76cb670/ENCFF943EZJ.bam	Lab custom GRCh38	released	mixed read lengths		
ENCFF284TAX	bam	bam		alignments	GRCh38	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF315VJK/, /files/ENCFF315EQH/	203644159	Gene Yeo, UCSD	cb9dd7d69357c0f2b989c4e1a427df67		https://www.encodeproject.org/files/ENCFF284TAX/@@download/ENCFF284TAX.bam				released	s3://encode-public/2018/04/29/efe7d9bf-8aa1-4449-ae94-b3c89941dabc/ENCFF284TAX.bam	Lab custom GRCh38	released	mixed read lengths		
ENCFF571IFM	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF943EZJ/	5773794	Gene Yeo, UCSD	be98306c6ea78912d6d3474de118acac		https://www.encodeproject.org/files/ENCFF571IFM/@@download/ENCFF571IFM.bigWig				released	s3://encode-public/2018/04/29/a51ea786-f9cc-4ef9-82b9-b5764f4be426/ENCFF571IFM.bigWig	Lab custom GRCh38	released	mixed read lengths		
ENCFF921RKR	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF284TAX/	12030079	Gene Yeo, UCSD	8096f87d599870a52efff25fbcb1478f		https://www.encodeproject.org/files/ENCFF921RKR/@@download/ENCFF921RKR.bigWig				released	s3://encode-public/2018/04/29/6ab311bc-41ae-495c-97e8-23e69dd96b4f/ENCFF921RKR.bigWig	Lab custom GRCh38	released	mixed read lengths		
ENCFF430LRB	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	1	1_1							/files/ENCFF943EZJ/	6011458	Gene Yeo, UCSD	4fd6ee8252b3b1f342f0dfdd8c1821b9		https://www.encodeproject.org/files/ENCFF430LRB/@@download/ENCFF430LRB.bigWig				released	s3://encode-public/2018/04/29/6596a4ba-9208-454e-9204-fadc375037fc/ENCFF430LRB.bigWig	Lab custom GRCh38	released	mixed read lengths		
ENCFF779MXW	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF284TAX/	12456278	Gene Yeo, UCSD	688b93604f1de5de5a9eac8b73242fbb		https://www.encodeproject.org/files/ENCFF779MXW/@@download/ENCFF779MXW.bigWig				released	s3://encode-public/2018/04/29/f39a87f0-dae4-4b80-a9ef-324fdd8ca9e9/ENCFF779MXW.bigWig	Lab custom GRCh38	released	mixed read lengths		
ENCFF034NKK	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR739VVT	eCLIP	EFO:0002067	K562	cell line	Homo sapiens										APOBEC3C-human	RNA				ultraviolet irradiation	strand-specific	2018-08-30	ENCODE		see document	175-300	2	2_1							/files/ENCFF284TAX/, /files/ENCFF854OMC/	780697	Gene Yeo, UCSD	2ada4c3348955e1dffeba4484fb23fbf		https://www.encodeproject.org/files/ENCFF034NKK/@@download/ENCFF034NKK.bed.gz				released	s3://encode-public/2018/04/29/778c8abf-09f1-45f6-b969-96f42a27dbb2/ENCFF034NKK.bed.gz	Lab custom GRCh38	released	mixed read lengths		
